CID;TABCD;LCD;CLASS;TCD;STCD;NID;POL_LCD
58;1;1116;A;10;0;6343;498
58;1;1118;A;10;0;6380;436
58;1;1122;A;10;0;6499;369
58;1;1124;A;10;0;6504;392
58;1;1128;A;10;0;6565;436
58;1;1129;A;10;0;6576;412
58;1;1130;A;10;0;6578;454
58;1;1131;A;10;0;6582;394
58;1;1132;A;10;0;6583;422
58;1;1134;A;10;0;6591;336
58;1;1136;A;10;0;6603;334
58;1;1138;A;10;0;6606;418
58;1;1140;A;10;0;6619;359
58;1;1141;A;10;0;6628;407
58;1;1142;A;10;0;6630;619
58;1;1143;A;10;0;6636;2791
58;1;1145;A;10;0;6692;323
58;1;1146;A;10;0;6695;580
58;1;1147;A;10;0;6701;634
58;1;1148;A;10;0;6710;545
58;1;1150;A;10;0;6748;422
58;1;1151;A;10;0;6763;498
58;1;1152;A;10;0;6802;422
58;1;1155;A;10;0;6818;395
58;1;1156;A;10;0;6861;570
58;1;1158;A;10;0;6903;473
58;1;1159;A;10;0;6908;579
58;1;1160;A;10;0;6917;466
58;1;1162;A;10;0;6952;611
58;1;1163;A;10;0;6968;14292
58;1;1164;A;10;0;6973;329
58;1;1165;A;10;0;7000;705
58;1;1166;A;10;0;7005;589
58;1;1168;A;10;0;7017;604
58;1;1169;A;10;0;7029;484
58;1;1172;A;10;0;7048;396
58;1;1174;A;10;0;7056;454
58;1;1175;A;10;0;7068;399
58;1;1176;A;10;0;7072;467
58;1;1177;A;10;0;7076;552
58;1;1179;A;10;0;7099;437
58;1;1181;A;10;0;7112;488
58;1;1182;A;10;0;7147;670
58;1;1183;A;10;0;7149;560
58;1;1185;A;10;0;7203;401
58;1;1186;A;10;0;7208;658
58;1;1187;A;10;0;7231;558
58;1;1188;A;10;0;7244;458
58;1;1189;A;10;0;7250;523
58;1;1190;A;10;0;7261;679
58;1;1191;A;10;0;7266;403
58;1;1192;A;10;0;7274;646
58;1;1193;A;10;0;7279;404
58;1;1195;A;10;0;7298;560
58;1;1196;A;10;0;7300;502
58;1;1197;A;10;0;7303;545
58;1;1198;A;10;0;7322;692
58;1;1200;A;10;0;7355;657
