CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
58;1;32286;;32287
58;1;32287;32286;36032
58;1;32294;9418;32295
58;1;32295;32294;
58;1;32321;32172;
58;1;32325;;46675
58;1;32377;36089;
58;1;32403;;32404
58;1;32404;32403;9510
58;1;32464;;32465
58;1;32465;32464;
58;1;32498;;32499
58;1;32499;32498;
58;1;32551;9388;32552
58;1;32552;32551;
58;1;32553;;32554
58;1;32554;32553;9261
58;1;32555;9348;
58;1;32556;9366;
58;1;32558;;9267
58;1;32560;9290;
58;1;32561;9302;
58;1;32563;9339;
58;1;32602;7018;32673
58;1;32673;32602;
58;1;32737;9321;
58;1;32754;9386;
58;1;32818;;9372
58;1;32871;8447;
58;1;32885;;9075
58;1;33001;;33002
58;1;33002;33001;
58;1;33010;;33011
58;1;33011;33010;36088
58;1;33022;;33023
58;1;33023;33022;
58;1;33032;;33033
58;1;33033;33032;
58;1;33047;;33048
58;1;33048;33047;
58;1;33060;8550;8551
58;1;33061;8679;8680
58;1;33062;8551;8552
58;1;33063;;8693
58;1;33080;;33081
58;1;33081;33080;33082
58;1;33082;33081;33083
58;1;33083;33082;
58;1;33100;;33101
58;1;33101;33100;33102
58;1;33102;33101;33103
58;1;33103;33102;
58;1;33141;8507;8509
58;1;33153;;33154
58;1;33154;33153;33155
58;1;33155;33154;
58;1;33166;;33167
58;1;33167;33166;
58;1;33175;;33176
58;1;33176;33175;33177
58;1;33177;33176;33178
58;1;33178;33177;33179
58;1;33179;33178;
58;1;33194;;33195
58;1;33195;33194;33196
58;1;33196;33195;33197
58;1;33197;33196;36077
58;1;33198;36077;33199
58;1;33199;33198;33200
58;1;33200;33199;
58;1;33234;;33235
58;1;33235;33234;33236
58;1;33236;33235;
58;1;33265;;33266
58;1;33266;33265;
58;1;33278;8567;8568
58;1;33286;33330;8736
58;1;33325;8714;33326
58;1;33326;33325;8715
58;1;33330;8735;33286
58;1;33332;;9505
58;1;33342;9565;
58;1;33348;9574;
58;1;33353;;33354
58;1;33354;33353;33355
58;1;33355;33354;
58;1;33369;;33370
58;1;33370;33369;33371
58;1;33371;33370;33372
58;1;33372;33371;46931
58;1;33389;32256;33390
58;1;33390;33389;33391
58;1;33391;33390;33392
58;1;33392;33391;
58;1;33411;;33412
58;1;33412;33411;33413
58;1;33413;33412;
58;1;33426;;33427
58;1;33427;33426;
58;1;33439;;33440
58;1;33440;33439;
58;1;33461;;33462
58;1;33462;33461;33463
58;1;33463;33462;
58;1;33477;;33478
58;1;33478;33477;
58;1;33492;;33493
58;1;33493;33492;
58;1;33537;;9262
58;1;33539;;9265
58;1;33583;8546;
58;1;33739;9242;
58;1;33809;9952;
58;1;33847;34125;
58;1;34011;;9275
58;1;34034;9248;
58;1;34075;;34077
58;1;34077;34075;
58;1;34106;8578;8579
58;1;34125;;33847
58;1;34126;8637;
58;1;34130;;34131
58;1;34131;34130;
58;1;34132;9246;
58;1;34143;;34145
58;1;34145;34143;
58;1;34152;9251;
58;1;34168;;34169
58;1;34169;34168;34170
58;1;34170;34169;34171
58;1;34171;34170;
