CID;TABCD;LCD;CLASS;TCD;STCD;NID;POL_LCD
58;1;33078;A;6;4;9183;1589
58;1;33525;A;5;2;22845;579
58;1;33817;A;12;0;3889;3819
58;1;34167;A;12;0;13651;3140
58;1;34213;A;12;0;21605;2005
58;1;35095;A;5;2;1023;705
58;1;35096;A;5;2;4696;705
58;1;35097;A;6;1;8502;705
58;1;35098;A;5;2;24491;667
58;1;35099;A;5;2;20465;667
58;1;35100;A;5;2;1357;501
58;1;35101;A;5;2;28244;667
58;1;35102;A;5;2;23751;539
58;1;35103;A;5;2;24062;629
58;1;35104;A;5;2;5381;294
58;1;35105;A;5;2;25291;539
58;1;35106;A;5;2;23081;539
58;1;35107;A;5;2;26543;681
58;1;35108;A;5;2;25193;681
58;1;35109;A;5;2;26578;332
58;1;35110;A;5;2;13855;332
58;1;35111;A;5;2;24460;425
58;1;35112;A;5;2;21764;425
58;1;35113;A;5;2;8017;590
58;1;35114;A;5;2;4138;1
58;1;35115;A;5;2;14440;339
58;1;35158;A;6;4;12557;2001
58;1;35159;A;6;4;12838;2001
58;1;35160;A;6;3;9103;2219
58;1;35161;A;6;4;12698;31933
58;1;35231;A;6;4;26412;42305
58;1;35238;A;6;3;10250;2049
58;1;35277;A;6;4;13907;2381
58;1;35278;A;6;4;26412;2381
58;1;35285;A;6;4;10812;5480
58;1;35287;A;6;4;14455;5480
58;1;35319;A;6;4;1;5437
58;1;35320;A;6;4;19802;5450
58;1;36420;A;6;1;22481;840
58;1;36421;A;6;1;2732;840
58;1;36422;A;6;1;5690;37221
58;1;36423;A;6;1;16770;37221
58;1;36424;A;6;1;17083;37205
58;1;36425;A;6;1;7566;37205
58;1;36426;A;6;1;17547;3266
58;1;36427;A;6;1;28187;3240
58;1;36428;A;6;1;13486;520
58;1;36433;A;6;8;20125;37205
58;1;36450;A;6;8;20121;37205
58;1;36451;A;6;8;20079;37205
58;1;36452;A;6;8;20081;37205
58;1;36453;A;6;8;20089;37205
58;1;36454;A;6;8;20082;37205
58;1;36455;A;6;8;20080;37205
58;1;36456;A;6;8;20090;37205
58;1;36457;A;6;8;20094;37205
58;1;36458;A;6;8;20117;37205
58;1;36459;A;6;8;20105;37205
58;1;36460;A;6;8;20097;37205
58;1;36461;A;6;8;20103;37205
58;1;36462;A;6;8;20106;37205
58;1;36463;A;6;8;20110;37205
58;1;36464;A;6;8;20116;37205
58;1;36465;A;6;8;20109;37205
58;1;36466;A;6;8;20107;37205
58;1;36467;A;6;8;20091;37205
58;1;36468;A;6;8;20119;37205
58;1;36469;A;6;8;20120;37205
58;1;36470;A;6;8;20114;37205
58;1;36471;A;6;8;20092;37205
58;1;36472;A;6;8;20093;37205
58;1;36473;A;6;8;20104;37205
58;1;36474;A;6;8;20100;37205
58;1;36476;A;6;1;12562;37278
58;1;36477;A;6;1;12563;37206
58;1;36479;A;6;1;12561;3266
58;1;36480;A;6;1;12559;37221
58;1;36481;A;6;8;20115;37206
58;1;36482;A;6;8;20111;37206
58;1;36483;A;6;8;20108;37206
58;1;36484;A;6;8;20099;37206
58;1;36485;A;6;8;20095;37206
58;1;36486;A;6;8;20096;37206
58;1;36487;A;6;8;20113;37206
58;1;36488;A;6;8;20098;37206
58;1;36489;A;6;8;20107;37206
58;1;36490;A;6;8;20112;37206
58;1;36491;A;6;8;20118;37206
58;1;37296;A;6;1;10821;37205
58;1;37297;A;6;1;12560;37205
58;1;37298;A;6;3;12531;37205
58;1;38551;A;6;4;24304;452
58;1;38554;A;6;4;1038;452
58;1;38555;A;6;4;24427;38941
58;1;38556;A;6;4;17099;452
58;1;38617;A;6;1;19165;258
58;1;38743;A;12;0;12804;3531
58;1;38908;A;12;0;9113;1337
58;1;38909;A;12;0;13658;3467
58;1;38910;A;12;0;493;4018
58;1;38911;A;12;0;9513;3550
58;1;38942;A;6;4;28471;38941
58;1;38971;A;6;1;18981;258
58;1;38972;A;6;1;28657;258
58;1;38973;A;6;1;25123;258
58;1;38974;A;6;1;27472;258
58;1;38975;A;6;1;17309;258
58;1;40354;A;12;0;1065;313
58;1;40753;A;12;0;13555;388
58;1;40754;A;12;0;21866;388
58;1;40979;A;6;1;17278;262
58;1;40980;A;6;1;17907;262
58;1;40981;A;6;1;21591;262
58;1;40982;A;6;1;27476;262
