CID;LID;NID;NAME;NCOMMENT
58;1;682;Alfershausen;
58;1;683;Alfhausen;
58;1;684;Alfhausener Straße;
58;1;685;Alflen;
58;1;686;Alfons-Goppel-Straße;
58;1;687;Alfred-Bozi-Straße;
58;1;688;Alfred-Hess-Straße;
58;1;689;Alfred-Kowalke-Straße;
58;1;690;Alfred-Zingler-Straße;
58;1;691;Alfredstraße;
58;1;692;Alfsee;
58;1;693;Alfter;
58;1;694;Algenrodt;
58;1;695;Algermissen;
58;1;696;Alheim;
58;1;697;Alheim-Heinebach;
58;1;698;Alhorn/Vechtaer Straße;
58;1;699;Alicenplatz;
58;1;700;Alicenstraße;
58;1;701;Aligse;
58;1;702;Alitzheim;
58;1;703;Alken;
58;1;704;Alkersleben;
58;1;705;Allach;
58;1;706;Allacher Straße;
58;1;707;Allee;
58;1;708;Allee der Kosmonauten;
58;1;709;Allee/Theater;
58;1;710;Alleestraße;
58;1;711;Allenbach;
58;1;712;Allendorf;
58;1;713;Allendorf (Eder);
58;1;714;Allendorf (Lumda);
58;1;715;Allensbach;
58;1;716;Allensbach-Mitte;
58;1;717;Allensbach-Ost;
58;1;718;Allensbach-West/Markelfingen;
58;1;719;Allenstein;
58;1;720;Allensteiner Straße;
58;1;721;Allenz;
58;1;722;Aller-Nordbrücke;
58;1;723;Allerheiligentor;
58;1;724;Allerheimer Straße;
58;1;725;Allerhop;
58;1;726;Alleringersleben;
58;1;727;Allerkai;
58;1;728;Allermöhe;
58;1;729;Allermöher Deich;
58;1;730;Allerpark;
58;1;731;Allersberg;
58;1;732;Allersberger Straße;
58;1;733;Allersdorf;
58;1;734;Allersdorfer Kreisel;
58;1;735;Allershausen;
58;1;736;Allertal;
58;1;737;Allerweg;
58;1;738;Allgermissen;
58;1;739;Allgäu;
58;1;740;Allgäu Airport;
58;1;741;Allgäu Skyline Park;
58;1;742;Allgäuer Tor;
58;1;743;Allianz Arena;
58;1;744;Alling;
58;1;745;Allmendingen;
58;1;746;Allmendingen-Grötzingen;
58;1;747;Allmenhausen;
58;1;748;Allstedt;
58;1;749;Alme;
58;1;750;Almerswind;
58;1;751;Almoshof;
58;1;752;Alpen;
58;1;753;Alpenrod;
58;1;754;Alpenstraße;
58;1;755;Alpirsbach;
58;1;756;Alpirsbach-Ehlenbogen;
58;1;757;Alpirsbach-Rötenbach;
58;1;758;Alpirsbach/Vorderer Aischbach/Industriegebiet;
58;1;759;Alsbach;
58;1;760;Alsbach - Hähnlein;
58;1;761;Alsbach-Hähnlein;
58;1;762;Alsdorf;
58;1;763;Alsdorf-Neuweiler;
58;1;764;Alsenbrück;
58;1;765;Alsenstraße;
58;1;766;Alsenz;
58;1;767;Alsfassen;
58;1;768;Alsfeld;
58;1;769;Alsfeld - Lingelbach;
58;1;770;Alsfeld-Altenburg;
58;1;771;Alsfeld-Angenrod;
58;1;772;Alsfeld-Eifa;
58;1;773;Alsfeld-Eudorf;
58;1;774;Alsfeld-Fischbach;
58;1;775;Alsfeld-Leusel;
58;1;776;Alsfeld-Ost;
58;1;777;Alsfeld-West;
