CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;ROA_LCD;SEG_LCD;POL_LCD
58;1;8967;L;3;0;B61;;16312;3267;50424;;260
58;1;8968;L;3;0;B61;;3267;3778;50424;;260
58;1;8969;L;3;0;B61;;3778;11256;50424;;277
58;1;8971;L;3;0;B62;;3767;16562;50425;;281
58;1;8972;L;3;0;B62;;768;3084;50425;;1
58;1;8974;L;3;0;B64;;25312;21514;50427;;260
58;1;8975;L;3;0;B64;;21514;20007;50427;;277
58;1;8976;L;3;0;B64;;11938;23780;50427;;258
58;1;8977;L;3;0;B65;;19780;17219;50428;;1
58;1;8978;L;3;0;B65;;17219;2811;50428;;1
58;1;8979;L;3;0;B65;;2811;10561;50428;;258
58;1;8980;L;3;0;B65;;10561;4431;50428;;258
58;1;8981;L;3;0;B66;;3783;3782;50429;;345
58;1;8983;L;3;0;B525;;5456;18934;50572;;369
58;1;8984;L;3;0;B68;;26850;20007;50431;;277
58;1;8985;L;3;0;B68;;3778;19780;50431;;1
58;1;8986;L;3;0;B68;;19780;5436;50431;;258
58;1;8989;L;3;0;B7;;17594;28148;50434;;260
58;1;8990;L;3;0;B7;;28148;10269;50434;;272
58;1;8991;L;3;0;B7;;12627;1680;50434;;272
58;1;8992;L;3;0;B7;;17078;26850;50434;;260
58;1;8993;L;3;0;B7;;11435;6895;50434;;261
58;1;8994;L;3;0;B7;;6895;7282;50434;;271
58;1;8995;L;3;0;B7;;7282;12728;50434;;271
58;1;8996;L;3;0;B7;;12728;910;50434;;271
58;1;8997;L;3;0;B7;;910;21863;50434;;1
58;1;8998;L;3;0;B70;;27376;9632;50435;;260
58;1;8999;L;3;0;B70;;10904;21564;50435;;292
58;1;9000;L;3;0;B70;;21564;17021;50435;;1
58;1;9001;L;3;0;B70;;17021;7084;50435;;258
58;1;9003;L;3;0;B71;;16371;5362;50436;;270
58;1;9004;L;3;0;B71;;5362;22636;50436;;2304
58;1;9005;L;3;0;B71;;22636;25832;50436;;1
58;1;9006;L;3;0;B71;;25832;24148;50436;;258
58;1;9007;L;3;0;B71;;24148;28389;50436;;258
58;1;9008;L;3;0;B71;;28389;4591;50436;;1
58;1;9009;L;3;0;B72;;23201;7814;50437;;258
58;1;9010;L;3;0;B72;;7814;18814;50437;;258
58;1;9011;L;3;0;B73;;10428;24382;50438;;257
