CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
58;1;14134;P;1;12;;4507;3800;22208;945;;;34300;1;1;1;1;1;1;;;+01361830;+5276660;0;0
58;1;14135;P;1;12;;22368;365;5648;945;;34106;;1;1;1;1;1;1;;;+01364475;+5275490;0;0
58;1;14136;P;1;12;;6592;3801;7833;945;;34106;;1;1;1;1;1;1;;;+01365070;+5276850;0;0
58;1;14138;P;1;12;;;3800;22368;945;;;14137;1;0;0;1;1;1;;;+01364475;+5275490;0;0
58;1;14139;P;1;11;;3607;3802;1207;945;;;14137;0;1;1;0;1;1;;;+01363130;+5276580;14140;1
58;1;14140;P;1;12;;22208;3800;4507;945;;;14137;1;0;0;1;1;1;;;+01361830;+5276660;14139;0
58;1;14141;P;1;12;;6155;22206;28376;14127;;;14137;0;1;1;0;1;1;;;+01356100;+5282630;0;0
58;1;14147;P;1;15;;;26667;;2620;;8709;;1;1;1;1;1;1;;;+00791730;+4807300;0;0
58;1;14148;P;3;37;;;27796;;1175;;8709;;1;1;1;1;1;1;;;+00803890;+4815390;0;0
58;1;14149;P;1;12;;;7071;;2950;;8709;;1;1;1;1;1;1;;;+00808560;+4818510;0;0
58;1;14150;P;1;12;;;27976;;2324;;8710;;1;1;1;1;1;1;;;+00827800;+4828940;0;0
58;1;14151;P;1;12;;;758;;3806;;8710;;1;1;1;1;1;1;;;+00841340;+4834800;0;0
58;1;14152;P;1;12;;;8303;;1263;;54892;;1;1;1;1;1;1;;;+00844040;+4844790;52906;0
58;1;14153;P;1;15;;;8307;;1263;;54892;;1;1;1;1;1;1;;;+00843535;+4846860;0;0
58;1;14154;P;1;12;;;3016;;2394;;54892;;1;1;1;1;1;1;;;+00842900;+4852770;0;0
