CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
58;1;7447;58;1;7453
58;1;7452;58;1;53824
58;1;7453;58;1;7447
58;1;7455;58;1;53823
58;1;7456;58;1;53790
58;1;7588;58;1;54922
58;1;7598;58;1;12586
58;1;7619;58;1;7776
58;1;7664;58;1;33142
58;1;7724;58;1;36137
58;1;7725;58;1;21423
58;1;7727;58;1;36140
58;1;7732;58;1;42407
58;1;7742;58;1;8107
58;1;7743;58;1;27688
58;1;7744;58;1;12894
58;1;7745;58;1;27697
58;1;7747;58;1;46697
58;1;7758;58;1;46991
58;1;7767;58;1;31507
58;1;7769;58;1;31505
58;1;7776;58;1;7619
58;1;7784;58;1;7792
58;1;7785;58;1;7788
58;1;7787;58;1;7791
58;1;7788;58;1;7785
58;1;7789;58;1;34649
58;1;7791;58;1;7787
58;1;7792;58;1;7794
58;1;7794;58;1;34646
58;1;7795;58;1;34984
58;1;7796;58;1;7789
58;1;7797;58;1;7798
58;1;7798;58;1;7797
58;1;7800;58;1;43326
58;1;7807;58;1;7808
58;1;7808;58;1;7807
58;1;7810;58;1;7811
58;1;7811;58;1;7810
58;1;7814;58;1;34571
58;1;7815;58;1;7819
58;1;7818;58;1;7821
58;1;7819;58;1;7815
58;1;7821;58;1;7818
58;1;7822;58;1;7814
58;1;7824;58;1;7826
58;1;7826;58;1;7824
58;1;7827;58;1;7830
58;1;7828;58;1;7837
58;1;7830;58;1;7827
58;1;7831;58;1;7841
58;1;7832;58;1;7856
58;1;7833;58;1;7838
58;1;7835;58;1;7847
58;1;7837;58;1;7828
58;1;7838;58;1;7833
58;1;7841;58;1;7831
58;1;7843;58;1;28206
58;1;7844;58;1;7859
58;1;7845;58;1;7850
58;1;7847;58;1;7835
58;1;7848;58;1;28237
58;1;7850;58;1;7845
58;1;7851;58;1;34911
58;1;7852;58;1;34521
58;1;7854;58;1;7858
58;1;7856;58;1;7832
58;1;7858;58;1;7854
58;1;7859;58;1;7844
58;1;7884;58;1;27767
58;1;7894;58;1;27770
58;1;7896;58;1;60384
58;1;7900;58;1;61070
58;1;7905;58;1;42353
58;1;7909;58;1;60871
58;1;7910;58;1;12426
58;1;7918;58;1;32015
58;1;7923;58;1;21794
58;1;7929;58;1;61063
58;1;7932;58;1;21795
58;1;7934;58;1;28613
58;1;7936;58;1;28494
58;1;7937;58;1;7951
58;1;7939;58;1;21226
58;1;7940;58;1;21227
58;1;7941;58;1;23612
58;1;7942;58;1;7950
58;1;7944;58;1;28469
58;1;7947;58;1;7953
58;1;7948;58;1;22788
58;1;7950;58;1;7942
58;1;7951;58;1;7937
58;1;7952;58;1;22787
58;1;7953;58;1;7947
58;1;7955;58;1;54227
58;1;7956;58;1;28500
58;1;7959;58;1;7965
58;1;7961;58;1;7964
58;1;7963;58;1;7967
58;1;7964;58;1;7961
58;1;7965;58;1;7959
58;1;7967;58;1;7963
58;1;7969;58;1;7973
58;1;7970;58;1;7972
58;1;7971;58;1;7974
58;1;7972;58;1;7970
58;1;7973;58;1;7969
58;1;7974;58;1;7971
58;1;7978;58;1;8021
58;1;7979;58;1;38780
58;1;7981;58;1;29833
58;1;7984;58;1;38540
58;1;7986;58;1;28522
58;1;7988;58;1;7989
58;1;7989;58;1;7988
58;1;7991;58;1;8000
58;1;7995;58;1;24953
58;1;8000;58;1;7991
58;1;8004;58;1;59464
58;1;8006;58;1;38510
58;1;8009;58;1;54479
58;1;8013;58;1;8018
58;1;8014;58;1;52148
58;1;8015;58;1;25294
58;1;8017;58;1;38786
58;1;8018;58;1;8013
58;1;8021;58;1;7978
58;1;8022;58;1;38509
58;1;8028;58;1;22253
58;1;8029;58;1;12421
58;1;8037;58;1;33318
58;1;8040;58;1;33320
58;1;8051;58;1;8057
58;1;8054;58;1;8055
58;1;8055;58;1;8056
58;1;8056;58;1;8054
58;1;8057;58;1;8051
58;1;8058;58;1;8059
58;1;8059;58;1;8058
58;1;8060;58;1;8061
58;1;8061;58;1;8060
58;1;8068;58;1;8084
58;1;8077;58;1;8097
58;1;8078;58;1;8098
58;1;8080;58;1;12876
58;1;8083;58;1;21813
58;1;8084;58;1;8068
58;1;8096;58;1;12870
58;1;8097;58;1;8077
58;1;8098;58;1;8078
58;1;8100;58;1;12828
58;1;8104;58;1;20680
58;1;8106;58;1;31976
58;1;8107;58;1;7742
58;1;8127;58;1;32344
58;1;8128;58;1;10818
58;1;8170;58;1;14238
58;1;8233;58;1;42094
58;1;8318;58;1;14187
58;1;8322;58;1;14191
58;1;8330;58;1;8335
58;1;8334;58;1;56675
58;1;8335;58;1;8330
58;1;8352;58;1;14168
58;1;8393;58;1;52526
